enterscene_,sceneinfo,appuin,appuinname,uv
1089,会话下拉,3507002676,wifi密码查看器官方版,3483
1008,群聊,3506020669,智行火车票,3480
1089,会话下拉,3505058977,中国电信营业厅,3473
1045,朋友圈广告,3508002787,酒店机票火车,3460
1001,列表,3506543534,节日酷炫祝福,3453
1001,列表,3505048450,街电,3385
ALL,NULL,3507007049,铁友,3381
1089,会话下拉,3507648055,联通微服务,3363
1001,列表,3506044594,中国移动10086+,3344
ALL,NULL,3506996270,手机弹幕,3317
1037,其他小程序,3506044594,中国移动10086+,3266
1049,相册选取小程序码,3507801930,抽奖助手,3211
ALL,NULL,3508087787,途虎养车Tuhu,3209
1089,会话下拉,3506146652,功夫打印,3170
1089,会话下拉,3849022532,领取音乐相册,3163
1023,安卓桌面,3507135269,腾讯乘车码,3158
1001,列表,3508009271,微快递+,3151
ALL,NULL,3508183270,小小签到,3125
1014,模版消息,3507342283,云充吧微驿站,3094
ALL,NULL,3846032181,粤省事,3071
1001,列表,3807026337,拍照识花君,3032
1007,单聊,3507801930,抽奖助手,3026
1027,本地搜索,3505000848,车来了精准实时公交,3021
1048,长按小程序码,3507000634,美团外卖,3004
1011,扫描二维码,3507342283,云充吧微驿站,3002
1089,会话下拉,3505197487,群里有事,2928
1014,模版消息,3507000638,大众点评美食电影运动旅游门票,2913
1011,扫描二维码,3508185139,来电,2903
1012,长按二维码,3507135269,腾讯乘车码,2835
1089,会话下拉,3505000902,汽车报价大全,2814
ALL,NULL,3506066650,车价天天报,2773
1014,模版消息,3507039171,壁纸精选,2755
1074,公众号会话卡片,3507000621,铂涛旅行酒店预订,2753
1006,垂搜,3507135269,腾讯乘车码,2718
1001,列表,3507002676,wifi密码查看器官方版,2711
1024,小程序profile,3507135269,腾讯乘车码,2656
1007,单聊,3508000873,携程订酒店机票火车票汽车票门票,2634
ALL,NULL,3858005060,58二手车精选,2624
1035,公众号自定义菜单,3505000855,华住会酒店预订汉庭全季桔子,2606
1089,会话下拉,3506996270,手机弹幕,2570
1007,单聊,3843008221,节日祝福贺卡,2567
1036,App分享消息,3508107293,腾讯相册,2562
ALL,NULL,3508185676,高铁管家,2552
ALL,NULL,3505414859,图片文字识别,2547
1043,公众号模板消息,3507135269,腾讯乘车码,2545
1048,长按小程序码,3508000873,携程订酒店机票火车票汽车票门票,2537
1089,会话下拉,3508000937,腾讯翻译君,2535
ALL,NULL,3506027688,宝宝儿歌,2514
ALL,NULL,3505442649,书链,2494
1008,群聊,3849022532,领取音乐相册,2478
ALL,NULL,3506194723,抽奖小工具,2472
1089,会话下拉,3507009314,忆年共享相册,2447
1044,群API,3507000638,大众点评美食电影运动旅游门票,2446
1014,模版消息,3508185139,来电,2441
1028,卡包,3508434013,腾讯手机充值,2406
1089,会话下拉,3507039171,壁纸精选,2377
1005,全搜,3507135269,腾讯乘车码,2359
1038,其他小程序返回,3505701833,58到家家庭服务,2352
1007,单聊,3849022532,领取音乐相册,2352
1089,会话下拉,3507000621,铂涛旅行酒店预订,2346
1007,单聊,3506020669,智行火车票,2345
ALL,NULL,3859008115,美好音乐相册制作,2310
1014,模版消息,3505000848,车来了精准实时公交,2308
1014,模版消息,3508000880,快递100小助手,2305
1058,公众号文章,3505089957,小小贺卡,2257
1012,长按二维码,3508000880,快递100小助手,2217
1007,单聊,3507135269,腾讯乘车码,2192
1089,会话下拉,3506027688,宝宝儿歌,2153
ALL,NULL,3506020829,途家公寓民宿,2125
1035,公众号自定义菜单,3508000880,快递100小助手,2113
1043,公众号模板消息,3507000634,美团外卖,2103
ALL,NULL,3508021752,豆果美食+,2093
ALL,NULL,3505607626,流量不限量助手,2085
1028,卡包,3508002787,酒店机票火车,2082
ALL,NULL,3507000614,中通助手,2081
1008,群聊,3507041826,去哪儿机票火车票酒店,2070
1089,会话下拉,3505000855,华住会酒店预订汉庭全季桔子,2057
1014,模版消息,3508012745,充值特惠,2055
ALL,NULL,3508520183,斗米找工作,2049
1023,安卓桌面,3506278134,识花君,2029
1038,其他小程序返回,3508434013,腾讯手机充值,2021
1089,会话下拉,3846032181,粤省事,2017
1038,其他小程序返回,3507063404,小电充电,2015
ALL,NULL,3508127507,名片全能王+,1997
1089,会话下拉,3507342283,云充吧微驿站,1989
1001,列表,3508000873,携程订酒店机票火车票汽车票门票,1985
1001,列表,3505003378,小打卡,1984
1008,群聊,3507765505,报名工具,1973
1089,会话下拉,3505480474,快相册,1971
1001,列表,3506080265,闪萌表情,1956
1095,小程序广告组件,3508145002,玩车教授,1955
1044,群API,3505159217,微信发票助手,1951
1043,公众号模板消息,3505048450,街电,1937
1008,群聊,3507801930,抽奖助手,1930
1038,其他小程序返回,3507648055,联通微服务,1901
1001,列表,3507063404,小电充电,1899
1007,单聊,3505597506,快递助手云打印,1879
1001,列表,3508000875,小年糕+,1878
1038,其他小程序返回,3507000634,美团外卖,1874
ALL,NULL,3507036389,爱回收手机回收,1871
1007,单聊,3507041826,去哪儿机票火车票酒店,1864
1014,模版消息,3506146652,功夫打印,1863
1008,群聊,3508183270,小小签到,1859
ALL,NULL,3506013667,运动步数排行,1854
1089,会话下拉,3508107293,腾讯相册,1849
1007,单聊,3505008241,安居客房产,1828
ALL,NULL,3506154931,榛果民宿预订,1806
1011,扫描二维码,3505597506,快递助手云打印,1804
ALL,NULL,3825013392,途牛旅游跟团自助机票酒店火车票,1802
ALL,NULL,3506066281,小立报名,1797
1036,App分享消息,3505480474,快相册,1792
1001,列表,3505089957,小小贺卡,1784
1089,会话下拉,3505414859,图片文字识别,1780
1001,列表,3508000901,下厨房+,1764
1089,会话下拉,3859010399,真心感恩祝福,1755
1007,单聊,3506278134,识花君,1728
1008,群聊,3843008221,节日祝福贺卡,1714
1036,App分享消息,3858005060,58二手车精选,1706
1027,本地搜索,3505048450,街电,1700
1089,会话下拉,3507027828,草料二维码,1699
1043,公众号模板消息,3507000615,南航e行,1674
1007,单聊,3508000901,下厨房+,1673
1007,单聊,3506080265,闪萌表情,1669
1001,列表,3505159217,微信发票助手,1665
1012,长按二维码,3506146652,功夫打印,1643
ALL,NULL,3507762670,汉维翻译,1614
1035,公众号自定义菜单,3507000615,南航e行,1609
1024,小程序profile,3505048450,街电,1595
1006,垂搜,3505037445,WiFi一键连,1588
ALL,NULL,3505000852,智联招聘丨白领招聘求职找工作,1582
1048,长按小程序码,3506020669,智行火车票,1573
ALL,NULL,3507747580,好友运动,1571
1008,群聊,3505003378,小打卡,1565
1044,群API,3505480474,快相册,1561
1035,公众号自定义菜单,3507648055,联通微服务,1559
1037,其他小程序,3507000638,大众点评美食电影运动旅游门票,1557
1001,列表,3505247596,怪兽充电EnergyMonster,1536
1014,模版消息,3506194723,抽奖小工具,1515
1011,扫描二维码,3508000873,携程订酒店机票火车票汽车票门票,1511
1014,模版消息,3505037445,WiFi一键连,1506
1035,公众号自定义菜单,3505003378,小打卡,1501
1037,其他小程序,3507801930,抽奖助手,1493
ALL,NULL,3506721989,我的艺术签名,1489
1035,公众号自定义菜单,3505247596,怪兽充电EnergyMonster,1486
1036,App分享消息,3506020829,途家公寓民宿,1476
1036,App分享消息,3507007049,铁友,1476
1035,公众号自定义菜单,3505078432,黑咔相机,1474
1092,城市服务页面,3505000848,车来了精准实时公交,1470
1048,长按小程序码,3508002787,酒店机票火车,1467
1008,群聊,3508000901,下厨房+,1462
1089,会话下拉,3506066650,车价天天报,1461
1035,公众号自定义菜单,3507000638,大众点评美食电影运动旅游门票,1456
1043,公众号模板消息,3507000621,铂涛旅行酒店预订,1446
1011,扫描二维码,3508231627,风火递,1442
1036,App分享消息,3825013392,途牛旅游跟团自助机票酒店火车票,1432
ALL,NULL,3508038509,巴士管家火车票汽车票预订,1427
1089,会话下拉,3508183270,小小签到,1427
ALL,NULL,3507668586,儿歌多多,1423
1089,会话下拉,3508012745,充值特惠,1421
1058,公众号文章,3506044594,中国移动10086+,1404
1045,朋友圈广告,3507135269,腾讯乘车码,1404
1074,公众号会话卡片,3505003378,小打卡,1388
1038,其他小程序返回,3506146652,功夫打印,1386
1089,会话下拉,3506013667,运动步数排行,1384
ALL,NULL,3829002390,贝壳租房,1379
1036,App分享消息,3508000880,快递100小助手,1373
1035,公众号自定义菜单,3507039171,壁纸精选,1362
1014,模版消息,3507135269,腾讯乘车码,1353
1008,群聊,3505089957,小小贺卡,1337
1012,长按二维码,3508009271,微快递+,1327
1023,安卓桌面,3508002787,酒店机票火车,1325
1058,公众号文章,3508520183,斗米找工作,1309
ALL,NULL,3858010566,腾讯微回收,1286
1082,公众号文字链,3505442649,书链,1280
1058,公众号文章,3507648055,联通微服务,1273
1014,模版消息,3505480474,快相册,1271
1089,会话下拉,3507000614,中通助手,1269
ALL,NULL,3505147390,查视力,1262
1027,本地搜索,3505058977,中国电信营业厅,1258
1008,群聊,3506278134,识花君,1256
1027,本地搜索,3508000880,快递100小助手,1247
1043,公众号模板消息,3508087787,途虎养车Tuhu,1235
1089,会话下拉,3507762670,汉维翻译,1231
1034,支付完成页,3508434013,腾讯手机充值,1219
1048,长按小程序码,3507041826,去哪儿机票火车票酒店,1213
1014,模版消息,3506066650,车价天天报,1212
1023,安卓桌面,3505078432,黑咔相机,1209
1012,长按二维码,3507027828,草料二维码,1189
1036,App分享消息,3508021752,豆果美食+,1185
1011,扫描二维码,3505159217,微信发票助手,1183
1037,其他小程序,3508087787,途虎养车Tuhu,1178
1060,微信支付完成页,3505048450,街电,1176
ALL,NULL,3506573244,菜菜美食日记,1174
1035,公众号自定义菜单,3508000873,携程订酒店机票火车票汽车票门票,1171
ALL,NULL,3506057439,香哈菜谱+,1169
1001,列表,3506677093,邮证查违章,1169
1089,会话下拉,3507747580,好友运动,1167
ALL,NULL,3507422460,村长讲故事,1158
1036,App分享消息,3506154931,榛果民宿预订,1156
ALL,NULL,3507518246,个性手机壁纸生成,1153
1089,会话下拉,3508087787,途虎养车Tuhu,1153
1027,本地搜索,3508434013,腾讯手机充值,1137
1089,会话下拉,3508185676,高铁管家,1128
1035,公众号自定义菜单,3846032181,粤省事,1123
1006,垂搜,3507000634,美团外卖,1122
1089,会话下拉,3858005060,58二手车精选,1119
1001,列表,3508000937,腾讯翻译君,1113
ALL,NULL,3508381465,讯飞快读,1107
1089,会话下拉,3507000615,南航e行,1099
1089,会话下拉,3505607626,流量不限量助手,1083
1024,小程序profile,3505247596,怪兽充电EnergyMonster,1073
ALL,NULL,3505006473,超能名片,1071
1001,列表,3507041826,去哪儿机票火车票酒店,1069
1013,相册选取二维码,3507135269,腾讯乘车码,1062
1089,会话下拉,3507668586,儿歌多多,1055
1043,公众号模板消息,3506044594,中国移动10086+,1033
1038,其他小程序返回,3506677093,邮证查违章,1030
1089,会话下拉,3859008115,美好音乐相册制作,1027
1089,会话下拉,3507765505,报名工具,1011
ALL,NULL,3508111933,车轮查违章,1005
1036,App分享消息,3508185676,高铁管家,1005
ALL,NULL,3800021419,制作音乐相册,1004
1014,模版消息,3508000875,小年糕+,989
ALL,NULL,3508010849,回收宝+,983
1001,列表,3506020669,智行火车票,977
1024,小程序profile,3505037445,WiFi一键连,976
ALL,NULL,3506887471,超好用的抽签抓阄工具,965
1011,扫描二维码,3506146652,功夫打印,964
